YCL024W,YNL307C
YOL151W,YOR226C
YBR019C,YLR081W
YGR178C,YBL027W
YML126C,YKL220C
YER148W,YBR198C
YIR006C,YDR495C
YBL072C,YGR090W
YGR200C,YBR081C
YGL030W,YCL054W
YBR073W,YMR284W
YHR203C,YGR054W
YCL011C,YBL003C
YNL209W,YDR381W
YHR107C,YDL058W
YJR041C,YKR060W
YBR132C,YLR113W
YBR023C,YBR036C
YLR117C,YGL181W
YBR109C,YDR231C
YLR216C,YFR004W
YER012W,YOL038W
YJR065C,YDL145C
YHR021C,YDL061C
YOR063W,YOR116C
YLL026W,YDR234W
YNL219C,YGR227W
YBL015W,YKL081W
YPL194W,YDL101C
YNL098C,YLR403W
YPL119C,YKL108W
YLR432W,YHL033C
YDR101C,YPL198W
YDR471W,YGR245C
YHR141C,YDR382W
YLR186W,YLR367W
YLR340W,YBR048W
YNL076W,YOL067C
YHR137W,YGL201C
YLR106C,YGL111W
YGR061C,YPR185W
YPL240C,YEL048C
YDR448W,YCL064C
YBL017C,YNL243W
YJL177W,YGL189C
YGL197W,YDL153C
YPR108W,YDR368W
YDR465C,YHR209W
YGR220C,YGR240C
YCL011C,YDR237W
YDR380W,YHL024W
YNL308C,YOR096W
YIL035C,YAL035W
YGL103W,YOL121C
YPL085W,YNL049C
YPL047W,YMR223W
YMR250W,YMR090W
YLR259C,YER086W
YJR092W,YER008C
YLR178C,YNL274C
YHR197W,YDR341C
YDR364C,YER013W
YDR225W,YKL214C
YNL271C,YER118C
YCR107W,YHL046C
YGR159C,YLR009W
YAL044C,YMR286W
YEL026W,YML106W
YNR017W,YER154W
YML110C,YKR076W
YOR036W,YEL065W
