YAL025C,YJL050W
YAL025C,YJL069C
YAL025C,YJL098W
YAL025C,YJL109C
YAL025C,YJL122W
YAL025C,YJL125C
YAL025C,YJL148W
YAL025C,YJL208C
YAL025C,YJR002W
YAL025C,YJR003C
YAL025C,YJR041C
YAL025C,YJR063W
YAL025C,YJR097W
YAL025C,YKL009W
YAL025C,YKL021C
YAL025C,YKL027W
YAL025C,YKL078W
YAL025C,YKL082C
YAL025C,YKL099C
YAL025C,YKL143W
YAL025C,YKL172W
YAL025C,YKR024C
YAL025C,YKR056W
YAL025C,YKR060W
YAL025C,YKR081C
YAL025C,YKR092C
YAL025C,YLL008W
YAL025C,YLL011W
YAL025C,YLL034C
YAL025C,YLR002C
YAL025C,YLR003C
YAL025C,YLR009W
YAL025C,YLR014C
YAL025C,YLR051C
YAL025C,YLR063W
YAL025C,YLR068W
YAL025C,YLR073C
YAL025C,YLR074C
YAL025C,YLR129W
YAL025C,YLR175W
YAL025C,YLR186W
YAL025C,YLR196W
YAL025C,YLR197W
YAL025C,YLR221C
YAL025C,YLR222C
YAL025C,YLR223C
YAL025C,YLR243W
YAL025C,YLR276C
YAL025C,YLR287C
YAL025C,YLR336C
YAL025C,YLR401C
YAL025C,YLR409C
YAL025C,YLR435W
YAL025C,YML018C
YAL025C,YML043C
YAL025C,YML080W
YAL025C,YML093W
YAL025C,YML096W
YAL025C,YML113W
YAL025C,YMR014W
YAL025C,YMR049C
YAL025C,YMR093W
YAL025C,YMR128W
YAL025C,YMR131C
YAL025C,YMR239C
YAL025C,YMR269W
YAL025C,YMR290C
YAL025C,YMR310C
YAL025C,YNL002C
YAL025C,YNL061W
YAL025C,YNL062C
YAL025C,YNL075W
YAL025C,YNL110C
YAL025C,YNL113W
YAL025C,YNL124W
YAL025C,YNL141W
YAL025C,YNL151C
YAL025C,YNL175C
YAL025C,YNL182C
YAL025C,YNL186W
YAL025C,YNL207W
YAL025C,YNL248C
YAL025C,YNL299W
YAL025C,YNL308C
YAL025C,YNR024W
YAL025C,YNR053C
YAL025C,YNR054C
YAL025C,YOL010W
YAL025C,YOL041C
